titulo,modelo,marca,precio,condicion,opiniones,tipo_vendedor,ventas_vendedor
Pc Gamer Xtreme Amd A8 9600 8gb 1tb R7 Monitor 19.5,AMD A8-9600 APU 7th Gen,XTREME PC GAMING,"6,899",468 vendidos,4.5,MercadoLíder Platinum,125626
Cable Adaptador Convertidor Hdmi - Vga +regalo Cable 3.5mm,,,79,Nuevo  -  9993 vendidos,4.7,MercadoLíder Platinum,175692
Pc Gamer Xtreme Amd Ryzen 3 2200g 8gb 1tb Radeon Rx Vega 8,1 TB,XTREME PC GAMING,"5,859",169 vendidos,4.9,MercadoLíder Platinum,125626
Pc Gamer Xtreme Amd Ryzen 5 2400g 8gb 1tb Vega 11 Kit Gamer,AMD RYZEN 5 2400G,XTRME PC GAMING,"7,889",84 vendidos,4.7,MercadoLíder Platinum,125626
Pc Gamer Xtreme Amd Ryzen 3 2200g 8gb Ssd 240 Gb Fornite,AMD RYZEN 3 2200G,XTREME PC GAMING,"5,259",90 vendidos,4.0,MercadoLíder Platinum,125626
Mini Teclado Inalambrico Ñ Mouse Touchpad Android Tv Xbox Pc,,,120,Nuevo  -  7350 vendidos,4.5,MercadoLíder Platinum,17829
Lampara Flexible Usb Led Accesorios Laptop Pc Luz 5 Colores,,,8,Nuevo  -  5863 vendidos,4.7,MercadoLíder Platinum,175692
Computadora Core I5 Baratas 8gb Ram 500hdd Monitor Lcd 19',,,"4,500",Usado  -  346 vendidos,,MercadoLíder Platinum,2916
Computadora Barata Core 2 Duo 4gb Lcd 19 Wide Ciber Remate,,,"2,500",Usado  -  377 vendidos,,MercadoLíder Platinum,2916
Pc Gamer Amd Ryzen 5 2400g 8gb 1tb Vega 11 + Diadema Gamer,AMD RYZEN 5 2400G,XTREME PC GAMING,"7,689",117 vendidos,4.5,MercadoLíder Platinum,125626
Cable Trifasico De Corriente Alimentacion Pc Cpu Monitor 1.4,,,18,Nuevo  -  4424 vendidos,5.0,MercadoLíder Platinum,175692
"Laptop Acer Aspire A315, I3-8130 2.2ghz 4gb Ram 1tb Dd 15.6",,,"10,158",Nuevo  -  1 vendido,,MercadoLíder Platinum,672
Cpu Hp Workstation Torre Z210 Core I7 16gb Ram 1tb+120ssd,,,"6,800",Usado  -  95 vendidos,,MercadoLíder Platinum,2916
Pc Gamer Xtreme Amd Ryzen 5 2400g 8gb 1tb 240gb Ssd Vega 11,AMD RYZEN 5 2400G,XTREME PC GAMING,"7,859",124 vendidos,4.5,MercadoLíder Platinum,125626
Computadora Hp 240 G6 Celeron 4000 4 Gb De Ram Hd De 500,,,"5,500",Nuevo  -  3 vendidos,4.6,,186
